clip_name,start_frame,end_frame,verb_id,verb_name,action_id,action_name,noun_ids,noun_names
P22-R03-BaconAndEggs-3221623-3236180,077283,077704,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-355630-359515,008526,008638,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-392190-394442,009407,009472,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-445698-450600,010684,010827,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-450600-451870,010811,010848,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-466500-470900,011186,011312,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-48426-70910,001108,001756,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-618553-620095,014842,014886,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-681910-687900,016351,016524,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-880685-886540,021122,021291,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-903240-904463,021674,021711,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-904463-908150,021698,021805,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-997530-1005920,023920,024163,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-1213692-1223280,029105,029382,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-1493126-1509700,035796,036272,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-2358015-2361222,056585,056677,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-2368892-2376950,056834,057066,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-299456-312050,007156,007520,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-356826-360080,008555,008650,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-375965-380360,009013,009139,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-387652-397000,009281,009550,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-412213-423890,009865,010202,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-466326-469909,011183,011286,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-529929-534940,012706,012851,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-63865-79790,001494,001953,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-714270-722038,017124,017347,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-759718-762403,018227,018304,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-774237-779810,018568,018729,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P23-R03-BaconAndEggs-794429-802700,019046,019285,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-1002834-1007968,024056,024204,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-1007968-1009567,024187,024234,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-1009567-1042310,024151,025094,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-139496-146720,003330,003539,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-146720-150173,003513,003613,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-344705-347849,008265,008356,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-434475-438402,010418,010531,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-438402-440430,010516,010576,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-656995-658237,015764,015801,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-660883-663970,015854,015943,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-691747-694940,016594,016686,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P24-R03-BaconAndEggs-848897-853104,020363,020485,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1229425-1230609,029503,029538,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1270265-1275938,030473,030636,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1389462-1393343,033338,033450,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1439386-1453211,034512,034911,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1709659-1711323,041027,041076,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1917278-1923206,046000,046171,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-1939308-1949186,046520,046804,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-908996-910621,021811,021859,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-932721-934346,022381,022429,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-936738-939403,022475,022552,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P25-R06-GreekSalad-98170-107091,002335,002592,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P26-R05-Cheeseburger-1048918-1053237,025164,025288,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R03-BaconAndEggs-806419-820160,019321,019717,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-114552-118095,002741,002843,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-127668-129113,003061,003102,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-139517-142221,003342,003420,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-175749-177745,004212,004271,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-193997-198281,004645,004769,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-223448-230227,005346,005542,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-234267-241781,005604,005821,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-316969-318453,007604,007646,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-330840-334098,007932,008027,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-335075-340974,008027,008198,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-346005-350936,008292,008435,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-497250-505357,011915,012148,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-50621-63058,001184,001544,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P19-R04-ContinentalBreakfast-97360-104333,002320,002520,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-364927-367600,008752,008829,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-383211-387037,009188,009298,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-387799-389086,009304,009342,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-415675-420091,009966,010093,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-440285-442803,010560,010634,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-471438-472648,011311,011347,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-480651-484850,011525,011647,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-488216-493424,011705,011855,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-527184-531087,012643,012756,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-599485-610073,014362,014667,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-629596-632778,015103,015194,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-633827-636071,015206,015271,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-645381-650386,015477,015622,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-675224-683100,016186,016414,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R03-BaconAndEggs-881572-911307,021086,021943,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-115315-118365,002760,002848,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-130130-132234,003118,003179,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-154850-157266,003710,003781,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-160948-165460,003851,003983,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-188078-189837,004509,004561,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-193023-194754,004628,004679,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-396899-402421,009512,009672,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-447138-449085,010727,010783,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-503845-507949,012082,012201,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-573184-582234,013735,013995,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-633240-637133,015188,015301,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-647096-649373,015525,015590,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-677295-681603,016245,016369,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-687386-690825,016489,016588,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-765796-772158,018364,018547,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-91158-96172,002175,002321,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P20-R04-ContinentalBreakfast-945984-948280,022698,022764,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-205944-213624,004924,005145,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-273983-279272,006563,006715,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-318694-325794,007631,007837,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-340071-345391,008148,008303,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-494410-504001,011842,012120,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-508376-518225,012178,012461,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-59427-70635,001399,001723,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-656391-661003,015742,015876,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-759063-769455,018192,018492,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R03-BaconAndEggs-926894-934649,022227,022450,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-1065184-1071735,025549,025737,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-133261-137710,003188,003316,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-165126-169446,003953,004077,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-264989-269958,006347,006491,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-270837-275349,006489,006620,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P14-R02-TurkeySandwich-99662-103551,002382,002495,2,Open,2,Open fridge,2,fridge
P15-R01-PastaSalad-1046347-1047532,025109,025144,2,Open,2,Open fridge,2,fridge
P15-R01-PastaSalad-284573-286401,006825,006878,2,Open,2,Open fridge,2,fridge
P15-R01-PastaSalad-312097-313864,007486,007537,2,Open,2,Open fridge,2,fridge
P15-R01-PastaSalad-320643-322955,007690,007756,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-1345000-1346200,032277,032312,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-1588333-1590192,038115,038169,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-1743572-1744797,041842,041879,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-298400-301600,007154,007246,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-353300-358500,008467,008616,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-383296-385566,009194,009259,2,Open,2,Open fridge,2,fridge
P16-R03-BaconAndEggs-802429-804388,019254,019310,2,Open,2,Open fridge,2,fridge
P17-R03-BaconAndEggs-207171-208795,004968,005016,2,Open,2,Open fridge,2,fridge
P17-R03-BaconAndEggs-338700-339500,008126,008150,2,Open,2,Open fridge,2,fridge
P17-R03-BaconAndEggs-478226-479291,011475,011505,2,Open,2,Open fridge,2,fridge
P17-R03-BaconAndEggs-920994-922042,022101,022132,2,Open,2,Open fridge,2,fridge
P17-R04-ContinentalBreakfast-283500-284343,006802,006827,2,Open,2,Open fridge,2,fridge
P17-R04-ContinentalBreakfast-586592-587462,014076,014102,2,Open,2,Open fridge,2,fridge
P17-R04-ContinentalBreakfast-749416-750496,017983,018014,2,Open,2,Open fridge,2,fridge
P17-R04-ContinentalBreakfast-772334-773279,018534,018561,2,Open,2,Open fridge,2,fridge
P18-R03-BaconAndEggs-644062-645374,015454,015492,2,Open,2,Open fridge,2,fridge
P18-R03-BaconAndEggs-771835-773086,018521,018558,2,Open,2,Open fridge,2,fridge
P18-R03-BaconAndEggs-840622-842029,020171,020212,2,Open,2,Open fridge,2,fridge
P18-R03-BaconAndEggs-965867-967333,023177,023219,2,Open,2,Open fridge,2,fridge
P18-R04-ContinentalBreakfast-231491-232679,005552,005588,2,Open,2,Open fridge,2,fridge
P18-R04-ContinentalBreakfast-260678-261799,006254,006286,2,Open,2,Open fridge,2,fridge
P18-R04-ContinentalBreakfast-831326-832641,019948,019987,2,Open,2,Open fridge,2,fridge
P18-R04-ContinentalBreakfast-846653-848537,020315,020369,2,Open,2,Open fridge,2,fridge
P19-R03-BaconAndEggs-285302-288185,006840,006924,2,Open,2,Open fridge,2,fridge
P19-R03-BaconAndEggs-581192-583570,013943,014011,2,Open,2,Open fridge,2,fridge
P19-R03-BaconAndEggs-882640-885112,021177,021249,2,Open,2,Open fridge,2,fridge
P19-R03-BaconAndEggs-959924-961376,023035,023077,2,Open,2,Open fridge,2,fridge
P19-R04-ContinentalBreakfast-208241-210312,004992,005053,2,Open,2,Open fridge,2,fridge
P19-R04-ContinentalBreakfast-739596-741250,017746,017794,2,Open,2,Open fridge,2,fridge
P20-R03-BaconAndEggs-377128-378954,009047,009099,2,Open,2,Open fridge,2,fridge
P20-R03-BaconAndEggs-442803-444394,010623,010670,2,Open,2,Open fridge,2,fridge
P20-R03-BaconAndEggs-551897-553535,013241,013289,2,Open,2,Open fridge,2,fridge
P20-R03-BaconAndEggs-611399-613941,014667,014741,2,Open,2,Open fridge,2,fridge
P20-R03-BaconAndEggs-764184-765712,018337,018381,2,Open,2,Open fridge,2,fridge
P20-R04-ContinentalBreakfast-332720-334612,007981,008035,2,Open,2,Open fridge,2,fridge
P20-R04-ContinentalBreakfast-557968-559553,013387,013434,2,Open,2,Open fridge,2,fridge
P20-R04-ContinentalBreakfast-724172-725861,017376,017425,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-1052816-1053870,025265,025295,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-1156429-1157925,027751,027794,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-1281395-1282923,030750,030794,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-442817-444202,010624,010664,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-646970-648658,015523,015572,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-696854-698751,016720,016775,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-71026-74676,001695,001802,2,Open,2,Open fridge,2,fridge
P21-R03-BaconAndEggs-891828-896428,021392,021526,2,Open,2,Open fridge,2,fridge
P21-R04-ContinentalBreakfast-278309-281455,006672,006762,2,Open,2,Open fridge,2,fridge
P21-R04-ContinentalBreakfast-323629-324608,007765,007793,2,Open,2,Open fridge,2,fridge
P21-R04-ContinentalBreakfast-400559-402615,009608,009668,2,Open,2,Open fridge,2,fridge
P21-R04-ContinentalBreakfast-736373-738055,017668,017718,2,Open,2,Open fridge,2,fridge
P21-R05-Cheeseburger-255042-256886,006117,006170,2,Open,2,Open fridge,2,fridge
P21-R05-Cheeseburger-337541-339339,008096,008149,2,Open,2,Open fridge,2,fridge
P21-R05-Cheeseburger-473847-476063,011367,011431,2,Open,2,Open fridge,2,fridge
P21-R05-Cheeseburger-516083-518205,012380,012442,2,Open,2,Open fridge,2,fridge
P21-R05-Cheeseburger-690302-692990,016561,016638,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-176591-178108,004235,004278,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-242175-244128,005808,005864,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-452771-455050,010861,010927,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-796896-798998,019120,019181,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-884590-886435,021226,021279,2,Open,2,Open fridge,2,fridge
P21-R06-GreekSalad-99431-101312,002382,002436,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-1594232-1596356,038256,038318,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-1610781-1612739,038654,038710,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-1659678-1661809,039827,039889,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-1666196-1668706,039982,040055,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-266148-269313,006380,006471,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-269313-271904,006457,006532,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-951407-953615,022828,022892,2,Open,2,Open fridge,2,fridge
P22-R03-BaconAndEggs-976752-978675,023438,023493,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-1641041-1644658,039376,039480,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-1692366-1694083,040612,040662,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-360080-363690,008633,008737,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-426187-429332,010221,010311,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-724349-726055,017380,017430,2,Open,2,Open fridge,2,fridge
P23-R03-BaconAndEggs-815562-820715,019561,019710,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-1053920-1058751,025283,025422,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-1058751-1065813,025393,025597,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-1113305-1116579,026711,026806,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-124776-126990,002989,003053,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-158434-161217,003796,003876,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-2041320-2043801,048985,049058,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-2043580-2046123,049039,049113,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-2046125-2048571,049101,049172,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-314521-316603,007543,007604,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-89790-93822,002145,002261,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-1020066-1021836,024477,024529,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-1231441-1233976,029548,029622,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-1277224-1279423,030648,030712,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-1315176-1318681,031556,031657,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-134867-136460,003232,003280,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-1398400-1402456,033552,033668,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-176781-178251,004239,004282,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-2153875-2155547,051689,051738,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-840179-841763,020160,020207,2,Open,2,Open fridge,2,fridge
P25-R06-GreekSalad-947320-951520,022725,022847,2,Open,2,Open fridge,2,fridge
P24-R03-BaconAndEggs-769492-771850,018462,018530,3,Take,3,Take eating_utensil,3,eating_utensil
P24-R03-BaconAndEggs-888490-890323,021319,021372,3,Take,3,Take eating_utensil,3,eating_utensil
P24-R03-BaconAndEggs-889338-891481,021339,021401,3,Take,3,Take eating_utensil,3,eating_utensil
P24-R03-BaconAndEggs-911973-914116,021882,021944,3,Take,3,Take eating_utensil,3,eating_utensil
P25-R06-GreekSalad-1044084-1047611,025050,025151,3,Take,3,Take eating_utensil,3,eating_utensil
P25-R06-GreekSalad-1092916-1094221,026226,026265,3,Take,3,Take eating_utensil,3,eating_utensil
P25-R06-GreekSalad-1868669-1874405,044835,044999,3,Take,3,Take eating_utensil,3,eating_utensil
P25-R06-GreekSalad-1950751-1951456,046817,046836,3,Take,3,Take eating_utensil,3,eating_utensil
P25-R06-GreekSalad-2087204-2088526,050089,050128,3,Take,3,Take eating_utensil,3,eating_utensil
P26-R05-Cheeseburger-1484344-1485584,035621,035658,3,Take,3,Take eating_utensil,3,eating_utensil
P26-R05-Cheeseburger-432635-435124,010377,010449,3,Take,3,Take eating_utensil,3,eating_utensil
P26-R05-Cheeseburger-435124-438244,010435,010525,3,Take,3,Take eating_utensil,3,eating_utensil
P16-R03-BaconAndEggs-950800-952200,022816,022856,3,Take,3,Take eating_utensil,3,eating_utensil
P17-R03-BaconAndEggs-200400-202400,004804,004863,3,Take,3,Take eating_utensil,3,eating_utensil
P17-R03-BaconAndEggs-934672-947452,022402,022769,3,Take,3,Take eating_utensil,3,eating_utensil
P17-R03-BaconAndEggs-947452-949436,022733,022792,3,Take,3,Take eating_utensil,3,eating_utensil
